City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Upala,0,CR,1615070742,31,10.8979,-85.0145,91.4,19.57
Kutum,0,SD,1615070180,25,14.2,24.6667,62.42,13.91
Martapura,20,ID,1615070742,100,-3.4167,114.85,73.4,4.61
Talnakh,97,RU,1615070223,91,69.4865,88.3972,-3.59,2.04
Tanete,27,ID,1615070742,85,-3.9443,119.7848,76.78,0.72
Senneterre,90,CA,1615070178,61,48.3835,-77.2328,10.4,12.66
Lang Son,100,VN,1615070412,70,21.8333,106.7333,64.78,7.25
Santa Rosa de Aguán,20,HN,1615070742,69,15.95,-85.7167,82.4,6.55
Carutapera,100,BR,1615070374,90,-1.195,-46.02,77.41,7.87
Poptún,9,GT,1615070743,50,16.3311,-89.4169,80.24,1.95
Oranjestad,20,AW,1615070366,69,12.524,-70.027,82.4,21.85
Manavālakurichi,58,IN,1615070573,78,8.1333,77.3,76.62,4.76
Rome,90,US,1615070303,79,43.2128,-75.4557,21.2,4.61
Vanimo,98,PG,1615070586,75,-2.6741,141.3028,80.71,5.82
San-Pédro,100,CI,1615070743,88,4.7485,-6.6363,77.61,5.19
Sydney,40,AU,1615070619,56,-33.8679,151.2073,72.0,6.91
Anadyr,0,RU,1615070596,68,64.75,177.4833,-25.01,4.63
Aykhal,97,RU,1615070495,91,66.0,111.5,-1.68,7.31
São Félix do Xingu,100,BR,1615070743,92,-6.6447,-51.995,72.0,1.23
Gondal,0,IN,1615070743,68,21.9667,70.8,66.18,7.11
Shimoda,98,JP,1615070601,74,34.6667,138.95,39.0,5.01
Nantucket,1,US,1615070631,47,41.2835,-70.0995,33.8,16.11
Ustka,100,PL,1615070744,78,54.5805,16.8619,37.83,27.27
Najrān,0,SA,1615070288,34,17.4924,44.1277,64.4,3.78
Bihać,0,BA,1615070744,92,44.8169,15.8708,29.66,1.74
Camacha,40,PT,1615070744,67,33.0833,-16.3333,60.8,16.11
Kavieng,99,PG,1615070493,74,-2.5744,150.7967,82.56,7.58
Ilula,75,TZ,1615070744,83,-7.6766,36.0366,68.0,2.04
Aquiraz,0,BR,1615070745,78,-3.9014,-38.3911,84.0,9.22
Vieques,40,PR,1615070745,65,18.425,-65.8329,82.4,10.36
Shakawe,1,BW,1615070442,65,-18.3667,21.85,67.57,2.26
Balikpapan,20,ID,1615070344,94,-1.2675,116.8289,77.0,4.61
Touros,40,BR,1615070183,78,-5.1989,-35.4608,80.6,5.75
Hay River,100,CA,1615070745,79,60.8156,-115.7999,17.6,3.44
Benguela,89,AO,1615070745,82,-12.5763,13.4055,77.83,4.79
Hoquiam,40,US,1615070745,66,46.9809,-123.8893,51.01,18.41
Mahon,40,ES,1615070745,87,39.8885,4.2658,50.0,5.75
Mezen',78,RU,1615070746,91,65.8522,44.24,-7.37,6.22
Clyde River,1,CA,1615070460,63,70.4692,-68.5914,-16.6,18.41
Mitsamiouli,100,KM,1615070746,79,-11.3847,43.2844,81.66,10.85
Xining,22,CN,1615070189,78,36.6167,101.7667,27.75,2.51
Dingle,100,PH,1615070611,85,10.9995,122.6711,74.84,7.54
Madang,100,PG,1615070195,85,-5.2246,145.7966,77.32,7.63
Lisiy Nos,75,RU,1615070746,93,60.0169,30.0201,33.01,15.66
Kamień Pomorski,90,PL,1615070746,70,53.9685,14.7726,39.99,10.36
Karlshamn,90,SE,1615070746,87,56.1706,14.8619,39.2,18.41
Swan River,88,CA,1615070747,53,52.1058,-101.2676,48.2,8.05
Rosetown,100,CA,1615070747,75,51.5501,-108.0014,37.99,5.75
Oussouye,0,SN,1615070747,88,12.485,-16.5469,75.2,9.22
Dauriya,0,RU,1615070747,91,49.9333,116.8667,2.41,4.92
Kedungwaru,80,ID,1615070747,86,-8.0667,111.9167,74.57,1.74
Guanare,23,VE,1615070747,62,9.0418,-69.7421,82.63,2.01
Port Blair,0,IN,1615070578,75,11.6667,92.75,77.5,2.13
Wangkui,34,CN,1615070464,91,46.8333,126.5,2.59,11.41
Zhigansk,97,RU,1615070439,86,66.7697,123.3711,-17.88,10.22
Buala,100,SB,1615070748,72,-8.145,159.5921,83.39,5.44
Katherine,40,AU,1615070569,83,-14.4667,132.2667,80.6,9.22
Yangjiang,29,CN,1615070470,77,21.85,111.9667,67.64,12.28
Sawākin,5,SD,1615070417,73,19.1059,37.3321,73.18,8.77
Dawei,0,MM,1615070578,63,14.0833,98.2,71.56,2.84
Kourou,75,GF,1615070748,94,5.1552,-52.6478,78.01,10.13
Araguari,75,BR,1615070542,88,-18.6472,-48.1872,69.8,6.91
Baft,0,IR,1615070748,50,29.234,56.6057,45.05,1.54
Mustafābād,60,PK,1615070748,22,30.8922,73.4989,70.84,11.95
Vellmar,0,DE,1615070748,86,51.3581,9.4797,32.0,2.3
Grindavik,75,IS,1615070227,100,63.8424,-22.4338,35.6,4.61
Arlit,74,NE,1615070199,15,18.7369,7.3853,80.26,10.89
Zhashkiv,0,UA,1615070748,95,49.2454,30.1102,21.42,8.21
Ust'-Barguzin,37,RU,1615070374,92,53.45,108.9833,8.58,6.11
Yar-Sale,98,RU,1615070600,91,66.8333,70.8333,-6.72,9.48
Cayenne,75,GF,1615070509,94,4.9333,-52.3333,78.01,13.87
Tual,96,ID,1615070350,75,-5.6667,132.75,82.98,18.12
Bondo,100,CD,1615070749,25,3.8146,23.6866,80.78,2.73
Pantai Remis,20,MY,1615070749,94,4.4557,100.6288,75.2,1.14
Gubkinskiy,97,RU,1615070749,92,64.434,76.5026,-3.96,10.13
Potsdam,90,DE,1615070749,81,52.3989,13.0657,37.99,10.36
Nome,90,US,1615070492,85,64.5011,-165.4064,10.99,10.36
Ust-Maya,87,RU,1615070749,84,60.4167,134.5333,-30.73,1.95
Vangaindrano,2,MG,1615070749,90,-23.35,47.6,73.85,9.82
Pala,62,TD,1615070749,16,9.3642,14.9046,79.93,6.62
Honningsvåg,100,NO,1615070749,91,70.9821,25.9704,30.29,28.07
Amahai,100,ID,1615070212,78,-3.3333,128.9167,77.68,6.29
Kargil,99,IN,1615070750,90,34.5667,76.1,12.06,1.68
Port Keats,99,AU,1615070750,74,-14.25,129.55,84.87,6.8
Ülenurme,90,EE,1615070750,100,58.3162,26.7252,34.0,17.27
Pak Phanang,33,TH,1615070445,81,8.3511,100.202,76.8,1.45
Wenatchee,75,US,1615070750,35,47.4235,-120.3103,53.01,6.91
Itupeva,40,BR,1615070750,88,-23.1531,-47.0578,73.99,4.61
Igrim,99,RU,1615070751,92,63.1906,64.4162,-4.43,4.99
Svetlaya,45,RU,1615070342,83,46.5389,138.3297,9.41,7.36
Pangai,75,TO,1615070358,84,-19.8,-174.35,84.2,2.3
Río Cuarto,0,AR,1615070197,69,-33.1307,-64.3499,80.6,13.8
Guymon,1,US,1615070499,24,36.6828,-101.4816,66.2,13.8
Chachapoyas,60,PE,1615070751,85,-6.2317,-77.869,60.13,1.95
Sur,0,OM,1615070476,44,22.5667,59.5289,76.08,2.77
Qaqortoq,75,GL,1615070751,42,60.7167,-46.0333,42.8,9.22
Vilyuysk,92,RU,1615070203,92,63.7553,121.6247,-6.0,4.54
North Vanlaiphai,3,IN,1615070751,57,23.1333,93.0667,46.49,3.11
Kirakira,100,SB,1615070219,77,-10.4544,161.9205,82.63,7.36
São João da Barra,75,BR,1615070192,74,-21.6403,-41.0511,82.4,5.75
Moscow,0,RU,1615070527,79,55.7522,37.6156,16.0,8.95
Talcahuano,0,CL,1615070230,77,-36.7167,-73.1167,64.4,8.05
Virginia Beach,20,US,1615070190,39,36.8529,-75.978,46.4,14.97
Kinablangan,5,PH,1615070752,81,7.6947,126.5503,76.55,5.35
Santo Domingo,3,DO,1615070752,100,18.5001,-69.9886,79.0,4.97
Tursunzoda,40,TJ,1615070752,87,38.5144,68.2333,41.0,2.24
Camopi,100,GF,1615070375,97,3.1655,-52.3158,72.3,3.58
Cairns,40,AU,1615070208,83,-16.9167,145.7667,80.6,4.61
Bhānpura,0,IN,1615070752,32,24.513,75.7469,76.62,8.23
Cap-aux-Meules,100,CA,1615070752,68,47.3821,-61.8597,21.2,13.8
Panama City,20,PA,1615070752,58,8.9936,-79.5197,87.8,13.8
Abong Mbang,27,CM,1615070752,63,3.9833,13.1833,71.82,5.19
Grand-Lahou,94,CI,1615070605,88,5.1367,-5.0242,79.68,7.67
Koslan,98,RU,1615070222,91,63.4564,48.8989,-7.78,3.13
Byron Bay,40,AU,1615070422,88,-28.65,153.6167,71.01,8.05
Dondo,20,MZ,1615070521,83,-19.6094,34.7431,78.8,6.91
Pueblo,1,US,1615070684,10,38.2545,-104.6091,71.6,8.05
Dicabisagan,51,PH,1615070753,78,17.0818,122.4157,75.0,1.34
Changchun,0,CN,1615070753,56,43.88,125.3228,8.6,8.95
Ojinaga,1,MX,1615070753,23,29.5667,-104.4167,69.8,8.05
North Bend,20,US,1615070371,58,43.4065,-124.2243,54.0,12.66
Batagay-Alyta,48,RU,1615070208,64,67.8006,130.4114,-25.71,2.71
Batamshinskiy,90,KZ,1615070477,93,50.5594,58.2747,24.8,2.24
Yoichi,75,JP,1615070753,93,43.2039,140.7703,21.2,6.91
The Valley,20,AI,1615070753,73,18.217,-63.0578,78.8,14.97
Deputatsky,100,RU,1615070578,85,69.3,139.9,-23.03,11.92
Seoul,75,KR,1615070142,75,37.5683,126.9778,35.6,3.44
Maunabo,9,PR,1615070754,87,18.0072,-65.8993,78.01,1.01
Sukhodol,84,RU,1615070754,91,53.9006,51.2117,3.76,0.63
Itaituba,40,BR,1615070754,74,-4.2761,-55.9836,84.2,1.32
San Juan,0,AR,1615070471,29,-31.5375,-68.5364,89.31,1.41
Altus,1,US,1615070754,32,34.6381,-99.334,64.4,11.5
Makat,100,KZ,1615070754,89,47.6469,53.3463,34.81,16.24
Vallenar,0,CL,1615070754,47,-28.5708,-70.7581,74.68,5.19
Quatre Cocos,75,MU,1615070482,78,-20.2078,57.7625,81.0,11.5
Garoowe,0,SO,1615070754,89,8.4054,48.4845,61.72,4.83
Sidrolândia,40,BR,1615070603,78,-20.9319,-54.9614,75.2,8.05
Thenali,0,IN,1615070479,92,16.2425,80.6398,70.32,1.19
Baraboo,1,US,1615070755,31,43.4711,-89.7443,46.4,1.03
Necochea,51,AR,1615070755,66,-38.5473,-58.7368,66.07,14.47
San Andrés,40,CO,1615070218,61,12.5847,-81.7006,82.4,10.36
Grand Gaube,92,MU,1615070378,78,-20.0064,57.6608,81.0,8.01
Salinas,1,US,1615070414,55,36.6777,-121.6555,60.8,12.66
Terrace,90,CA,1615070755,81,54.5163,-128.6035,37.4,10.36
Fallon,75,US,1615070755,19,39.4735,-118.7774,57.2,10.36
Matane,100,CA,1615070755,80,48.8286,-67.522,23.0,28.77
Waddān,0,LY,1615070204,45,29.1614,16.139,59.83,6.38
Semey,92,KZ,1615070756,93,50.4111,80.2275,16.41,6.64
Hargeisa,34,SO,1615070756,38,9.56,44.065,58.24,13.22
Karratha,64,AU,1615070565,70,-20.7377,116.8463,81.39,7.11
Te Anau,62,NZ,1615070598,63,-45.4167,167.7167,56.43,0.85
Bongaree,71,AU,1615070756,88,-27.0797,153.1586,72.0,1.01
Coos Bay,20,US,1615070236,58,43.3665,-124.2179,54.0,12.66
Itatiba,40,BR,1615070756,88,-23.0058,-46.8389,73.4,4.61
Gornopravdinsk,100,RU,1615070223,96,60.05,69.9,11.77,5.3
Lagunas,44,PE,1615070757,87,-5.2269,-75.6753,79.83,2.08
Malakal,0,SS,1615070757,14,9.5334,31.6605,85.57,9.71
Cody,40,US,1615070757,14,44.5263,-109.0565,60.8,20.71
Riachão,63,BR,1615070757,85,-7.3619,-46.6172,76.26,1.34
Sungai Penuh,100,ID,1615070225,97,-2.0833,101.3833,63.99,1.43
Sisimiut,98,GL,1615070587,94,66.9395,-53.6735,15.58,10.47
Casablanca,40,MA,1615070727,93,33.5928,-7.6192,59.0,4.61
Ketchikan,90,US,1615070182,70,55.3422,-131.6461,42.8,20.71
San Miguel de Cozumel,75,MX,1615070758,94,20.5083,-86.9458,75.99,6.91
Dundee,0,GB,1615070470,75,56.5,-2.9667,39.2,12.66
Coquimbo,20,CL,1615070541,68,-29.9533,-71.3436,69.8,12.66
Benghazi,0,LY,1615070758,61,32.1167,20.0667,63.07,7.14
Ambilobe,100,MG,1615070505,94,-13.2,49.05,74.16,4.18
Flinders,60,AU,1615070480,74,-34.5833,150.8552,69.01,1.99
Calama,20,CL,1615070336,38,-22.4667,-68.9333,73.4,25.32
Husavik,0,IS,1615070583,86,66.0449,-17.3389,30.2,10.18
Iqaluit,90,CA,1615070565,78,63.7506,-68.5145,-2.0,25.32
Asău,95,RO,1615070467,61,46.4333,26.4,28.99,3.06
Kostyantynivka,0,UA,1615070710,92,48.5277,37.7069,26.2,7.92
Caravelas,100,BR,1615070194,83,-17.7125,-39.2481,78.8,10.47
Tobermory,0,CA,1615070758,54,45.2501,-81.6665,26.6,14.97
Harper,99,LR,1615070428,85,4.375,-7.7169,78.87,4.97
Chipinge,76,ZW,1615070357,100,-20.1883,32.6236,61.14,3.11
Emirdağ,55,TR,1615070758,81,39.0197,31.15,38.52,3.33
Santana do Paraíso,46,BR,1615070759,87,-19.3636,-42.5686,72.64,1.52
Skjervøy,100,NO,1615070759,88,70.0311,20.9714,31.62,20.98
Karlivka,30,UA,1615070759,91,49.4567,35.1295,27.36,10.89
Cabiraoan,7,PH,1615070759,80,18.3238,122.086,74.53,5.53
Lavrentiya,96,RU,1615070496,87,65.5833,-171.0,-9.8,2.21
Novyy Urgal,93,RU,1615070759,87,51.0736,132.5642,-16.02,3.18
Sibolga,100,ID,1615070759,83,1.7427,98.7792,76.69,3.27
Mossamedes,39,AO,1615070494,79,-15.1961,12.1522,74.79,0.72
Skibbereen,20,IE,1615070759,80,51.55,-9.2667,33.8,5.75
Yangi Marg`ilon,100,UZ,1615070584,57,40.4272,71.7189,46.4,4.61
Shitanjing,35,CN,1615070604,77,39.2342,106.3439,33.17,6.06
Papetoai,75,PF,1615070759,66,-17.4961,-149.8729,87.01,4.61
Gigmoto,99,PH,1615070585,77,13.7796,124.39,77.31,9.82
